id_student;fullname;gender;birthday
17039;Công Văn Hải;Man;21/11/1999
17040;Huỳnh Phương Chi;Woman;15/6/1999
17041;Nguyễn Anh Đào;Woman;8/3/1999
17042;Bùi Phương Hồng;Woman;3/0/1999
17043;Công Phương Hồng;Woman;10/6/1999
17044;Bùi Minh Bình;Man;2/6/1999
17045;Vũ Thị Hạnh;Woman;1/1/1999
17046;Cao Văn Hoàng;Man;30/10/1999
17047;Bùi Anh Hồng;Woman;2/4/1999
17048;Đinh Anh Hồng;Woman;18/1/1999
17049;Công Minh Hải;Man;12/5/1999
17050;Đinh Phương Hạnh;Woman;15/3/1999
17051;Cao Phương Hiền;Woman;13/5/1999
17052;Đinh Anh Nhung;Woman;8/6/1999
17053;Phan Minh Bình;Man;10/11/1999
17054;Huỳnh Đức Tiến;Man;24/9/1999
17055;Huỳnh Anh Trang;Woman;1/9/1999
17056;Lê Thị Thùy;Woman;21/4/1999
17057;Bùi Phương Hồng;Woman;3/9/1999
17058;Nguyễn Thị Đào;Woman;28/9/1999
17059;Vũ Anh Đào;Woman;18/1/1999
17060;Huỳnh Thị Hiền;Woman;23/4/1999
17061;Cao Đức Tiến;Man;24/11/1999
17062;Cao Thị Hạnh;Woman;14/0/1999
17063;Huỳnh Văn Bình;Man;12/11/1999
17064;Công Anh Thùy;Woman;20/2/1999
17065;Đinh Đức Lộc;Man;17/2/1999
17066;Huỳnh Đức Dũng;Man;24/4/1999
17067;Vũ Văn Tiến;Man;11/1/1999
17068;Huỳnh Minh Hải;Man;30/0/1999
17069;Lê Minh Hoàng;Man;26/8/1999
17070;Cao Thị Hiền;Woman;21/7/1999
17071;Nguyễn Minh Dũng;Man;8/9/1999
17072;Nguyễn Văn Lộc;Man;10/4/1999
17073;Công Văn Sơn;Man;26/1/1999
17074;Công Phương Đào;Woman;22/0/1999
17075;Công Văn Tùng;Man;20/9/1999
17076;Đinh Minh Sơn;Man;14/5/1999
17077;Công Minh Lộc;Man;10/1/1999
17078;Bùi Minh Sơn;Man;6/4/1999
17079;Đinh Anh Hạnh;Woman;7/11/1999
17080;Đinh Phương Hạnh;Woman;25/4/1999
17081;Vũ Minh Lộc;Man;19/11/1999
17082;Bùi Văn Hải;Man;21/9/1999
17083;Nguyễn Thị Chi;Woman;28/9/1999
17084;Công Anh Chi;Woman;13/2/1999
17085;Công Minh Tiến;Man;2/3/1999
17086;Phan Minh Hoàng;Man;15/0/1999
17087;Vũ Văn Bình;Man;11/4/1999
17088;Bùi Văn Lộc;Man;30/7/1999
17089;Vũ Thị Chi;Woman;25/2/1999
17090;Nguyễn Thị Nhung;Woman;18/10/1999
17091;Cao Đức Tiến;Man;8/7/1999
17092;Huỳnh Văn Sơn;Man;8/11/1999
17093;Đinh Phương Đào;Woman;6/1/1999
17094;Đinh Thị Trang;Woman;4/5/1999
17095;Bùi Phương Đào;Woman;10/7/1999
17096;Lê Đức Huy;Man;16/8/1999
17097;Cao Văn Hải;Man;16/1/1999
17098;Bùi Minh Tùng;Man;29/7/1999
17099;Cao Minh Dũng;Man;2/11/1999
17100;Cao Đức Tùng;Man;24/4/1999
17101;Huỳnh Phương Hiền;Woman;9/6/1999
17102;Lê Thị Đào;Woman;29/4/1999
17103;Công Văn Hải;Man;25/5/1999
17104;Huỳnh Anh Hạnh;Woman;25/2/1999
17105;Huỳnh Thị Dung;Woman;20/6/1999
17106;Lê Anh Hạnh;Woman;15/11/1999
17107;Lê Thị Trang;Woman;23/10/1999
17108;Cao Phương Chi;Woman;12/4/1999
17109;Phan Phương Hồng;Woman;20/9/1999
17110;Cao Văn Lộc;Man;21/8/1999
17111;Đinh Anh Đào;Woman;15/4/1999
17112;Đinh Văn Hải;Man;29/4/1999
17113;Vũ Văn Tùng;Man;12/5/1999
17114;Nguyễn Phương Dung;Woman;13/6/1999
17115;Công Văn Huy;Man;30/10/1999
17116;Nguyễn Đức Hoàng;Man;11/2/1999
17117;Vũ Đức Sơn;Man;28/3/1999
17118;Đinh Đức Hải;Man;2/5/1999
17119;Lê Anh Dung;Woman;27/8/1999
17120;Nguyễn Đức Tùng;Man;14/7/1999
17121;Nguyễn Văn Hải;Man;22/7/1999
17122;Nguyễn Văn Hải;Man;19/3/1999
17123;Phan Phương Hiền;Woman;17/2/1999
17124;Cao Phương Đào;Woman;11/11/1999
17125;Lê Minh Tùng;Man;26/10/1999
17126;Đinh Văn Tiến;Man;8/5/1999
17127;Nguyễn Đức Hải;Man;3/5/1999
17128;Vũ Minh Dũng;Man;5/2/1999
17129;Phan Đức Sơn;Man;11/2/1999
17130;Vũ Phương Dung;Woman;30/9/1999
17131;Bùi Thị Dung;Woman;12/7/1999
17132;Đinh Thị Dung;Woman;1/1/1999
17133;Huỳnh Thị Hạnh;Woman;26/7/1999
17134;Bùi Anh Đào;Woman;18/5/1999
17135;Cao Anh Hạnh;Woman;30/2/1999
17136;Đinh Văn Tiến;Man;3/4/1999
17137;Lê Phương Chi;Woman;10/2/1999
17138;Cao Đức Bình;Man;0/9/1999
17139;Vũ Minh Huy;Man;3/8/1999
17140;Công Đức Hải;Man;3/4/1999
17141;Phan Minh Hoàng;Man;27/9/1999
17142;Công Anh Thùy;Woman;22/3/1999
17143;Cao Minh Hải;Man;30/6/1999
17144;Lê Đức Lộc;Man;30/1/1999
17145;Đinh Văn Bình;Man;24/7/1999
17146;Bùi Anh Chi;Woman;11/6/1999
17147;Huỳnh Minh Hoàng;Man;0/0/1999
17148;Vũ Phương Trang;Woman;22/8/1999
17149;Phan Văn Sơn;Man;4/10/1999
17150;Lê Phương Hồng;Woman;15/8/1999
17151;Nguyễn Văn Hải;Man;22/10/1999
17152;Phan Anh Trang;Woman;0/4/1999
17153;Nguyễn Văn Sơn;Man;17/0/1999
17154;Phan Phương Trang;Woman;2/6/1999
17155;Đinh Văn Tùng;Man;17/7/1999
17156;Nguyễn Thị Chi;Woman;24/11/1999
17157;Đinh Minh Hải;Man;20/0/1999
17158;Lê Văn Hải;Man;19/11/1999
17159;Đinh Đức Hoàng;Man;17/8/1999
17160;Bùi Văn Huy;Man;29/1/1999
17161;Bùi Minh Huy;Man;26/8/1999
17162;Lê Thị Hồng;Woman;1/2/1999
17163;Lê Minh Huy;Man;2/1/1999
17164;Phan Phương Dung;Woman;25/10/1999
17165;Bùi Thị Hạnh;Woman;25/4/1999
17166;Bùi Anh Trang;Woman;2/4/1999
17167;Phan Văn Sơn;Man;15/9/1999
17168;Bùi Đức Tiến;Man;9/0/1999
17169;Nguyễn Thị Chi;Woman;16/11/1999
17170;Cao Đức Hoàng;Man;18/2/1999
17171;Công Anh Thùy;Woman;5/0/1999
17172;Đinh Thị Thùy;Woman;30/9/1999
17173;Đinh Văn Sơn;Man;9/4/1999
17174;Lê Thị Hiền;Woman;5/9/1999
17175;Bùi Phương Hiền;Woman;30/11/1999
17176;Vũ Đức Dũng;Man;9/11/1999
17177;Lê Anh Đào;Woman;23/8/1999
17178;Vũ Phương Hạnh;Woman;10/0/1999
17179;Cao Đức Tiến;Man;11/0/1999
17180;Huỳnh Anh Trang;Woman;7/5/1999
17181;Vũ Đức Hải;Man;13/5/1999
17182;Nguyễn Minh Tùng;Man;6/3/1999
17183;Lê Anh Chi;Woman;29/10/1999
17184;Nguyễn Văn Tiến;Man;6/6/1999
17185;Đinh Minh Tùng;Man;5/0/1999
17186;Huỳnh Thị Hồng;Woman;16/0/1999
17187;Phan Thị Dung;Woman;4/6/1999
17188;Công Anh Thùy;Woman;8/8/1999
17189;Vũ Phương Thùy;Woman;9/4/1999
17190;Đinh Phương Đào;Woman;22/0/1999
17191;Bùi Đức Huy;Man;20/1/1999
17192;Lê Minh Bình;Man;22/1/1999
17193;Đinh Phương Thùy;Woman;0/1/1999
17194;Phan Đức Dũng;Man;0/6/1999
17195;Cao Đức Lộc;Man;23/4/1999
17196;Lê Minh Bình;Man;19/8/1999
17197;Phan Văn Hải;Man;24/1/1999
17198;Nguyễn Văn Huy;Man;19/1/1999
17199;Công Văn Hải;Man;5/1/1999
17200;Bùi Minh Hải;Man;5/11/1999
17201;Đinh Phương Dung;Woman;8/11/1999
17202;Cao Đức Tùng;Man;19/9/1999
17203;Phan Đức Tùng;Man;6/9/1999
17204;Vũ Anh Trang;Woman;28/2/1999
17205;Đinh Thị Hồng;Woman;12/10/1999
17206;Lê Phương Chi;Woman;22/9/1999
17207;Lê Thị Dung;Woman;2/9/1999
17208;Bùi Anh Dung;Woman;10/5/1999
17209;Lê Minh Lộc;Man;28/9/1999
17210;Lê Văn Bình;Man;24/8/1999
17211;Nguyễn Đức Hoàng;Man;15/2/1999
17212;Đinh Phương Hạnh;Woman;15/0/1999
17213;Huỳnh Đức Hoàng;Man;14/0/1999
17214;Huỳnh Văn Huy;Man;28/7/1999
17215;Cao Thị Thùy;Woman;13/3/1999
17216;Nguyễn Minh Tiến;Man;3/8/1999
17217;Cao Thị Hồng;Woman;22/8/1999
17218;Cao Phương Trang;Woman;17/0/1999
17219;Phan Anh Đào;Woman;30/2/1999
17220;Bùi Đức Hải;Man;17/6/1999
17221;Nguyễn Phương Đào;Woman;28/9/1999
17222;Lê Phương Hồng;Woman;24/0/1999
17223;Công Đức Sơn;Man;14/4/1999
17224;Cao Đức Hoàng;Man;20/5/1999
17225;Lê Minh Sơn;Man;5/10/1999
17226;Vũ Văn Bình;Man;20/0/1999
17227;Nguyễn Phương Nhung;Woman;6/4/1999
17228;Bùi Văn Hoàng;Man;30/7/1999
17229;Cao Thị Thùy;Woman;20/5/1999
17230;Lê Đức Lộc;Man;23/5/1999
17231;Vũ Thị Đào;Woman;23/7/1999
17232;Huỳnh Đức Hải;Man;0/4/1999
17233;Đinh Minh Bình;Man;4/2/1999
17234;Phan Anh Trang;Woman;24/2/1999
17235;Huỳnh Văn Bình;Man;11/4/1999
17236;Lê Phương Nhung;Woman;28/8/1999
17237;Huỳnh Văn Dũng;Man;29/1/1999
17238;Vũ Anh Dung;Woman;16/4/1999
17239;Huỳnh Phương Hồng;Woman;3/4/1999
17240;Cao Anh Dung;Woman;8/3/1999
17241;Cao Minh Hoàng;Man;4/10/1999
17242;Huỳnh Anh Hiền;Woman;14/0/1999
17243;Cao Minh Hoàng;Man;2/2/1999
17244;Cao Thị Nhung;Woman;17/3/1999
17245;Vũ Anh Hạnh;Woman;1/2/1999
17246;Huỳnh Đức Tùng;Man;23/7/1999
17247;Vũ Thị Trang;Woman;14/6/1999
17248;Cao Đức Lộc;Man;22/7/1999
17249;Cao Thị Dung;Woman;14/3/1999
17250;Công Thị Hạnh;Woman;9/11/1999
17251;Lê Đức Lộc;Man;19/4/1999
17252;Bùi Đức Bình;Man;20/4/1999
17253;Cao Đức Bình;Man;3/5/1999
17254;Phan Thị Hiền;Woman;5/2/1999
17255;Công Anh Hồng;Woman;26/8/1999
17256;Cao Đức Bình;Man;0/2/1999
17257;Bùi Anh Hồng;Woman;1/2/1999
17258;Vũ Văn Lộc;Man;1/0/1999
17259;Đinh Thị Đào;Woman;18/6/1999
17260;Nguyễn Thị Hạnh;Woman;13/10/1999
17261;Bùi Anh Nhung;Woman;30/9/1999
17262;Đinh Đức Sơn;Man;14/4/1999
17263;Cao Văn Tiến;Man;18/11/1999
17264;Vũ Minh Sơn;Man;12/5/1999
17265;Huỳnh Phương Dung;Woman;6/2/1999
17266;Huỳnh Thị Chi;Woman;19/11/1999
17267;Đinh Minh Hoàng;Man;3/5/1999
17268;Vũ Thị Thùy;Woman;7/6/1999
17269;Phan Minh Huy;Man;11/11/1999
17270;Huỳnh Đức Huy;Man;5/1/1999
17271;Công Phương Hạnh;Woman;4/1/1999
17272;Huỳnh Thị Chi;Woman;14/3/1999
17273;Công Đức Huy;Man;20/2/1999
17274;Cao Đức Bình;Man;17/2/1999
17275;Bùi Minh Sơn;Man;23/3/1999
17276;Huỳnh Phương Đào;Woman;5/2/1999
17277;Đinh Thị Hạnh;Woman;23/0/1999
17278;Lê Đức Bình;Man;12/5/1999
17279;Phan Đức Hải;Man;8/6/1999
17280;Cao Anh Đào;Woman;22/6/1999
17281;Bùi Minh Bình;Man;19/6/1999
17282;Công Thị Chi;Woman;8/9/1999
17283;Nguyễn Anh Dung;Woman;1/3/1999
17284;Đinh Thị Trang;Woman;29/6/1999
17285;Đinh Đức Hải;Man;27/5/1999
17286;Huỳnh Thị Đào;Woman;16/2/1999
17287;Cao Phương Dung;Woman;8/10/1999
17288;Cao Phương Trang;Woman;26/0/1999
17289;Phan Văn Dũng;Man;22/6/1999
17290;Nguyễn Thị Hồng;Woman;15/8/1999
17291;Huỳnh Phương Chi;Woman;28/10/1999
17292;Phan Phương Đào;Woman;4/10/1999
17293;Đinh Đức Hải;Man;25/5/1999
17294;Nguyễn Văn Hải;Man;20/1/1999
17295;Cao Đức Huy;Man;24/4/1999
17296;Bùi Phương Hiền;Woman;5/11/1999
17297;Bùi Anh Nhung;Woman;14/1/1999
17298;Huỳnh Đức Hải;Man;23/10/1999
17299;Công Đức Tiến;Man;0/3/1999
17300;Bùi Thị Đào;Woman;30/1/1999
17301;Bùi Đức Huy;Man;23/4/1999
17302;Bùi Thị Thùy;Woman;18/9/1999
17303;Lê Minh Hoàng;Man;16/0/1999
17304;Nguyễn Phương Chi;Woman;2/10/1999
17305;Nguyễn Đức Bình;Man;16/10/1999
17306;Cao Anh Hiền;Woman;16/10/1999
17307;Công Phương Dung;Woman;19/5/1999
17308;Huỳnh Phương Thùy;Woman;17/6/1999
17309;Cao Văn Bình;Man;0/5/1999
17310;Cao Phương Đào;Woman;28/6/1999
17311;Công Văn Huy;Man;22/9/1999
17312;Lê Minh Tiến;Man;24/10/1999
17313;Bùi Văn Dũng;Man;13/5/1999
17314;Phan Phương Hồng;Woman;23/9/1999
17315;Công Đức Dũng;Man;21/4/1999
17316;Lê Văn Bình;Man;8/2/1999
17317;Vũ Văn Dũng;Man;28/8/1999
17318;Nguyễn Anh Nhung;Woman;29/6/1999
17319;Lê Minh Hoàng;Man;15/6/1999
17320;Huỳnh Đức Tiến;Man;13/10/1999
17321;Lê Minh Tiến;Man;27/9/1999
17322;Đinh Minh Dũng;Man;8/6/1999
17323;Phan Minh Dũng;Man;11/0/1999
17324;Phan Minh Huy;Man;24/7/1999
17325;Nguyễn Anh Hạnh;Woman;26/8/1999
17326;Cao Phương Nhung;Woman;4/1/1999
17327;Nguyễn Thị Hồng;Woman;28/11/1999
17328;Vũ Minh Hải;Man;6/5/1999
17329;Bùi Thị Thùy;Woman;21/7/1999
17330;Vũ Đức Tùng;Man;12/11/1999
17331;Huỳnh Minh Hải;Man;26/3/1999
17332;Bùi Minh Lộc;Man;6/1/1999
17333;Công Văn Dũng;Man;5/1/1999
17334;Vũ Đức Hoàng;Man;10/4/1999
17335;Bùi Minh Tiến;Man;22/8/1999
17336;Công Văn Sơn;Man;5/11/1999
17337;Huỳnh Thị Thùy;Woman;23/1/1999
17338;Phan Thị Thùy;Woman;6/10/1999
17339;Phan Minh Dũng;Man;29/2/1999
17340;Công Văn Tùng;Man;23/11/1999
17341;Đinh Phương Thùy;Woman;16/6/1999
17342;Công Thị Trang;Woman;6/9/1999
17343;Huỳnh Đức Lộc;Man;6/4/1999
17344;Đinh Đức Hoàng;Man;20/3/1999
17345;Bùi Phương Chi;Woman;30/11/1999
17346;Vũ Thị Trang;Woman;22/8/1999
17347;Cao Thị Dung;Woman;11/3/1999
17348;Cao Văn Huy;Man;10/10/1999
17349;Nguyễn Phương Trang;Woman;26/7/1999
17350;Phan Đức Hải;Man;4/8/1999
17351;Vũ Đức Tùng;Man;12/11/1999
17352;Nguyễn Đức Hải;Man;16/1/1999
17353;Công Minh Bình;Man;7/9/1999
17354;Cao Đức Hoàng;Man;12/2/1999
17355;Đinh Thị Nhung;Woman;14/3/1999
17356;Đinh Minh Hoàng;Man;5/0/1999
17357;Huỳnh Đức Huy;Man;21/3/1999
17358;Nguyễn Văn Tiến;Man;13/8/1999
17359;Phan Phương Thùy;Woman;4/0/1999
17360;Phan Đức Hoàng;Man;2/4/1999
17361;Vũ Văn Hải;Man;2/5/1999
17362;Cao Anh Trang;Woman;14/0/1999
17363;Bùi Đức Lộc;Man;4/9/1999
17364;Lê Phương Hồng;Woman;27/5/1999
17365;Vũ Phương Hạnh;Woman;24/2/1999
17366;Phan Anh Nhung;Woman;22/5/1999
17367;Phan Minh Bình;Man;23/2/1999
17368;Vũ Văn Tiến;Man;17/8/1999
17369;Nguyễn Đức Tùng;Man;18/4/1999
17370;Lê Phương Hạnh;Woman;28/11/1999
17371;Bùi Phương Chi;Woman;19/4/1999
17372;Vũ Minh Dũng;Man;8/5/1999
17373;Đinh Anh Đào;Woman;24/7/1999
17374;Đinh Đức Tùng;Man;15/3/1999
17375;Cao Văn Tùng;Man;20/6/1999
17376;Công Phương Nhung;Woman;28/4/1999
17377;Cao Thị Chi;Woman;30/5/1999
17378;Bùi Đức Tiến;Man;0/2/1999
17379;Nguyễn Minh Hải;Man;26/7/1999
17380;Vũ Minh Tùng;Man;9/2/1999
17381;Huỳnh Anh Thùy;Woman;8/2/1999
17382;Vũ Minh Hải;Man;15/8/1999
17383;Lê Văn Tiến;Man;19/6/1999
17384;Đinh Minh Dũng;Man;15/8/1999
17385;Phan Thị Hồng;Woman;20/3/1999
17386;Huỳnh Anh Nhung;Woman;2/9/1999
17387;Nguyễn Anh Dung;Woman;16/0/1999
17388;Cao Thị Chi;Woman;5/10/1999
17389;Lê Minh Huy;Man;19/10/1999
17390;Huỳnh Anh Dung;Woman;15/5/1999
17391;Huỳnh Thị Hiền;Woman;18/10/1999
17392;Cao Đức Huy;Man;8/4/1999
17393;Phan Phương Thùy;Woman;24/3/1999
17394;Vũ Văn Tiến;Man;10/10/1999
17395;Phan Văn Sơn;Man;21/0/1999
17396;Bùi Văn Lộc;Man;18/6/1999
17397;Đinh Đức Dũng;Man;17/3/1999
17398;Công Anh Hiền;Woman;24/1/1999
17399;Phan Văn Tùng;Man;18/2/1999
17400;Huỳnh Thị Trang;Woman;29/6/1999
17401;Đinh Phương Hiền;Woman;2/3/1999
17402;Nguyễn Đức Lộc;Man;1/4/1999
17403;Phan Anh Trang;Woman;24/11/1999
17404;Cao Văn Dũng;Man;18/3/1999
17405;Bùi Anh Đào;Woman;6/3/1999
17406;Nguyễn Anh Hồng;Woman;25/11/1999
17407;Đinh Anh Trang;Woman;25/1/1999
17408;Bùi Anh Hiền;Woman;16/10/1999
17409;Cao Thị Chi;Woman;1/3/1999
17410;Công Thị Đào;Woman;12/2/1999
17411;Bùi Thị Thùy;Woman;25/1/1999
17412;Công Anh Nhung;Woman;22/8/1999
17413;Bùi Anh Hiền;Woman;15/4/1999
17414;Đinh Phương Chi;Woman;15/4/1999
17415;Cao Đức Lộc;Man;13/2/1999
17416;Phan Đức Sơn;Man;12/0/1999
17417;Vũ Anh Nhung;Woman;27/10/1999
17418;Đinh Thị Chi;Woman;24/11/1999
17419;Vũ Anh Trang;Woman;26/2/1999
17420;Lê Thị Dung;Woman;10/0/1999
17421;Huỳnh Văn Tiến;Man;8/8/1999
17422;Công Phương Trang;Woman;13/5/1999
17423;Vũ Anh Đào;Woman;25/10/1999
17424;Bùi Thị Hồng;Woman;18/0/1999
17425;Bùi Đức Lộc;Man;17/0/1999
17426;Vũ Đức Bình;Man;20/8/1999
17427;Phan Thị Chi;Woman;0/1/1999
17428;Lê Văn Huy;Man;13/4/1999
17429;Huỳnh Đức Tiến;Man;20/7/1999
17430;Huỳnh Minh Bình;Man;10/0/1999
17431;Vũ Minh Hải;Man;24/11/1999
17432;Vũ Thị Thùy;Woman;23/8/1999
17433;Công Minh Lộc;Man;29/1/1999
17434;Bùi Đức Hải;Man;19/11/1999
17435;Công Văn Hoàng;Man;7/8/1999
17436;Đinh Đức Tiến;Man;17/2/1999
17437;Cao Minh Sơn;Man;15/7/1999
17438;Đinh Văn Dũng;Man;2/7/1999
17439;Phan Phương Trang;Woman;13/1/1999
17440;Phan Thị Dung;Woman;21/9/1999
17441;Huỳnh Văn Lộc;Man;3/0/1999
17442;Bùi Văn Huy;Man;23/5/1999
17443;Phan Phương Nhung;Woman;10/1/1999
17444;Lê Phương Hồng;Woman;26/6/1999
17445;Phan Thị Thùy;Woman;25/2/1999
17446;Phan Văn Hoàng;Man;19/1/1999
17447;Đinh Đức Tùng;Man;14/4/1999
17448;Huỳnh Thị Trang;Woman;13/5/1999
17449;Phan Phương Chi;Woman;24/8/1999
17450;Lê Văn Bình;Man;27/0/1999
17451;Cao Anh Trang;Woman;6/2/1999
17452;Bùi Minh Lộc;Man;28/7/1999
17453;Lê Anh Nhung;Woman;28/10/1999
17454;Đinh Văn Hoàng;Man;21/0/1999
17455;Phan Phương Nhung;Woman;8/11/1999
17456;Nguyễn Văn Sơn;Man;8/5/1999
17457;Lê Văn Hải;Man;23/9/1999
17458;Nguyễn Phương Trang;Woman;11/0/1999
17459;Lê Minh Tùng;Man;18/3/1999
17460;Vũ Minh Huy;Man;6/2/1999
17461;Vũ Anh Hồng;Woman;15/10/1999
17462;Lê Đức Hoàng;Man;11/5/1999
17463;Cao Phương Nhung;Woman;28/2/1999
17464;Vũ Anh Trang;Woman;30/7/1999
17465;Huỳnh Minh Lộc;Man;2/3/1999
17466;Công Đức Tùng;Man;23/1/1999
17467;Lê Thị Hiền;Woman;8/11/1999
17468;Nguyễn Minh Dũng;Man;30/9/1999
17469;Nguyễn Minh Bình;Man;4/11/1999
17470;Cao Minh Lộc;Man;25/4/1999
17471;Đinh Phương Nhung;Woman;9/8/1999
17472;Công Văn Hoàng;Man;22/4/1999
17473;Huỳnh Phương Hạnh;Woman;30/1/1999
17474;Cao Minh Lộc;Man;7/10/1999
17475;Bùi Anh Hạnh;Woman;18/10/1999
17476;Huỳnh Minh Bình;Man;15/0/1999
17477;Lê Anh Chi;Woman;7/0/1999
17478;Nguyễn Anh Hạnh;Woman;27/2/1999
17479;Đinh Phương Hạnh;Woman;13/8/1999
17480;Huỳnh Anh Đào;Woman;4/11/1999
17481;Phan Văn Bình;Man;14/10/1999
17482;Phan Đức Hoàng;Man;10/3/1999
17483;Phan Thị Đào;Woman;0/8/1999
17484;Công Minh Tiến;Man;6/11/1999
17485;Bùi Minh Dũng;Man;14/3/1999
17486;Công Minh Hoàng;Man;12/5/1999
17487;Đinh Phương Nhung;Woman;18/6/1999
17488;Vũ Đức Hoàng;Man;25/6/1999
17489;Huỳnh Phương Trang;Woman;16/6/1999
17490;Lê Phương Hồng;Woman;17/11/1999
17491;Cao Anh Chi;Woman;13/11/1999
17492;Phan Đức Hải;Man;26/5/1999
17493;Huỳnh Anh Hiền;Woman;7/10/1999
17494;Phan Văn Bình;Man;23/9/1999
17495;Vũ Phương Chi;Woman;1/2/1999
17496;Bùi Phương Hiền;Woman;14/3/1999
17497;Phan Minh Lộc;Man;30/0/1999
17498;Huỳnh Văn Bình;Man;29/9/1999
17499;Nguyễn Đức Hải;Man;0/8/1999
17500;Phan Anh Hạnh;Woman;14/5/1999
17501;Vũ Đức Sơn;Man;20/2/1999
17502;Vũ Anh Chi;Woman;10/9/1999
17503;Huỳnh Đức Tùng;Man;9/4/1999
17504;Bùi Đức Lộc;Man;22/0/1999
17505;Nguyễn Phương Hạnh;Woman;12/1/1999
17506;Cao Anh Chi;Woman;10/6/1999
17507;Cao Thị Hồng;Woman;20/1/1999
17508;Công Thị Dung;Woman;23/7/1999
17509;Cao Minh Lộc;Man;16/5/1999
17510;Phan Minh Bình;Man;15/9/1999
17511;Bùi Minh Bình;Man;28/9/1999
17512;Bùi Đức Dũng;Man;10/4/1999
17513;Cao Thị Hồng;Woman;0/7/1999
17514;Bùi Minh Hải;Man;15/8/1999
17515;Nguyễn Anh Hiền;Woman;22/11/1999
17516;Cao Anh Đào;Woman;25/11/1999
17517;Công Thị Nhung;Woman;25/8/1999
17518;Bùi Văn Hoàng;Man;12/9/1999
17519;Đinh Anh Chi;Woman;27/3/1999
17520;Cao Đức Lộc;Man;16/8/1999
17521;Huỳnh Thị Nhung;Woman;26/2/1999
17522;Công Thị Chi;Woman;1/8/1999
17523;Phan Minh Sơn;Man;21/5/1999
17524;Lê Minh Hải;Man;25/8/1999
17525;Công Thị Trang;Woman;25/5/1999
17526;Bùi Đức Dũng;Man;9/11/1999
17527;Vũ Văn Dũng;Man;14/8/1999
17528;Huỳnh Minh Sơn;Man;19/11/1999
17529;Công Thị Hiền;Woman;18/10/1999
17530;Nguyễn Anh Đào;Woman;0/8/1999
17531;Cao Văn Huy;Man;2/6/1999
17532;Lê Thị Hiền;Woman;5/1/1999
17533;Bùi Văn Dũng;Man;30/9/1999
17534;Vũ Minh Dũng;Man;3/4/1999
17535;Bùi Thị Dung;Woman;20/5/1999
17536;Phan Đức Sơn;Man;28/0/1999
17537;Huỳnh Văn Tùng;Man;27/9/1999
17538;Cao Minh Lộc;Man;23/5/1999
17539;Bùi Văn Hải;Man;30/10/1999
17540;Vũ Anh Hạnh;Woman;8/7/1999
17541;Vũ Phương Thùy;Woman;10/9/1999
17542;Công Anh Chi;Woman;17/7/1999
17543;Cao Minh Huy;Man;1/8/1999
17544;Đinh Văn Dũng;Man;17/7/1999
17545;Nguyễn Anh Hồng;Woman;27/8/1999
17546;Phan Thị Chi;Woman;23/9/1999
17547;Bùi Minh Tùng;Man;6/8/1999
17548;Bùi Văn Bình;Man;2/4/1999
17549;Vũ Thị Nhung;Woman;10/1/1999
17550;Bùi Thị Đào;Woman;1/11/1999
17551;Bùi Đức Sơn;Man;5/9/1999
17552;Phan Minh Dũng;Man;27/7/1999
17553;Nguyễn Thị Dung;Woman;29/10/1999
17554;Vũ Thị Hạnh;Woman;21/4/1999
17555;Bùi Phương Hồng;Woman;29/8/1999
17556;Huỳnh Đức Sơn;Man;17/4/1999
